epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.84719,1.39436,3.06645,1.39672,0.01844,0.92222,0.17971,0.08401,1.26256,2.88063,1.2646,0,0,0
2,15.1411,1.30693,3.18449,1.31046,0.01867,0.93333,0.2267,0.10801,1.24105,2.86736,1.246,1.9604e-05,1.9604e-05,1.9604e-05
3,22.2557,1.30617,2.93983,1.36131,0.01956,0.97778,0.31851,0.16529,1.20383,2.83367,1.20056,3.8416e-05,3.8416e-05,3.8416e-05
4,29.4311,1.23818,2.93329,1.29044,0.01978,0.98889,0.42061,0.24034,1.15394,2.80058,1.1595,5.6436e-05,5.6436e-05,5.6436e-05
5,36.9751,1.16892,2.79661,1.20367,0.02,1,0.49252,0.29915,1.14376,2.75842,1.12812,7.3664e-05,7.3664e-05,7.3664e-05
6,44.393,1.28142,2.51413,1.22029,0.02,1,0.54582,0.32808,1.14266,2.73135,1.10981,9.01e-05,9.01e-05,9.01e-05
7,51.6174,1.18741,2.31926,1.16136,0.02,1,0.59493,0.36347,1.16609,2.68282,1.10159,0.000105744,0.000105744,0.000105744
8,59.6899,1.16671,2.26418,1.09551,0.02,1,0.68796,0.42466,1.16741,2.61017,1.07855,0.000120596,0.000120596,0.000120596
9,67.0312,1.22237,1.9155,1.12391,0.02,1,0.75171,0.47386,1.13951,2.52131,1.04305,0.000134656,0.000134656,0.000134656
10,73.9102,1.1479,1.71606,1.05747,0.02,1,0.85097,0.55576,1.08764,2.42168,1.00591,0.000147924,0.000147924,0.000147924
11,80.5738,1.21311,1.62902,1.04426,0.02,1,0.92782,0.61272,1.0705,2.30888,0.9982,0.0001604,0.0001604,0.0001604
12,87.291,1.13602,1.59168,1.00262,0.9354,0.88889,0.96963,0.63936,1.07297,2.17966,0.99601,0.000172084,0.000172084,0.000172084
13,93.9897,1.11663,1.4969,1.00802,1,0.52331,0.9822,0.65686,1.08214,2.01371,0.99688,0.000182976,0.000182976,0.000182976
14,100.794,1.10694,1.25916,0.99849,1,0.73646,0.98508,0.65487,1.09065,1.82846,0.99562,0.000193076,0.000193076,0.000193076
15,107.449,1.07974,1.10002,1.03402,1,0.84932,0.98657,0.64819,1.10619,1.65515,0.99457,0.000202384,0.000202384,0.000202384
16,113.85,1.15252,1.07538,1.08359,1,0.91729,0.99273,0.67153,1.07343,1.50832,0.9787,0.0002109,0.0002109,0.0002109
